Municipio,Distrito,CodigoPostal,Latitud,Longitud
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35001,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35002,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35003,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35004,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35005,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35006,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35007,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35008,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35009,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35010,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35011,28.0944,-15.4591
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35012,28.0944,-15.4591
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35013,28.0944,-15.4591
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35014,28.0997,-15.4134
Las Palmas de Gran Canaria,La Matula,35015,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35015,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35016,28.0944,-15.4591
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35017,28.0901,-15.5054
Las Palmas de Gran Canaria,Los Hoyos (Las Palmas De G.C.),35017,28.0997,-15.4134
Las Palmas de Gran Canaria,Monte Luz,35017,28.0901,-15.5054
Las Palmas de Gran Canaria,Montañeta, La (Las Palmas),35017,28.0901,-15.5054
Las Palmas de Gran Canaria,Llanos De Maria Ribera,35017,28.0901,-15.5054
Las Palmas de Gran Canaria,Lomo Blanco (Las Palmas),35017,28.0901,-15.5054
Las Palmas de Gran Canaria,El Sabinal,35017,28.0901,-15.5054
Las Palmas de Gran Canaria,La Calzada,35017,28.0585,-15.4702
Las Palmas de Gran Canaria,Siete Puertas,35017,28.0601,-15.4799
Las Palmas de Gran Canaria,Pico Viento,35017,28.0751,-15.4457
Las Palmas de Gran Canaria,Dragonal Alto,35017,28.0636,-15.4659
Las Palmas de Gran Canaria,Dragonal Bajo,35017,28.0693,-15.4626
Las Palmas de Gran Canaria,Tafira Baja,35017,28.0686,-15.4523
Las Palmas de Gran Canaria,Tamaraceite,35018,28.0997,-15.4735
Las Palmas de Gran Canaria,La Suerte,35018,28.0953,-15.4824
Las Palmas de Gran Canaria,Almatriche Alto,35018,28.0818,-15.4628
Las Palmas de Gran Canaria,Las Perreras,35018,28.1015,-15.462
Las Palmas de Gran Canaria,La Galera,35018,28.1011,-15.4824
